case,kind,compound,r
v1,null,,0.4127464072488397
v1,null,,0.40073861542355316
v1,null,,0.42161793136332787
v1,null,,0.4161426048837434
v1,null,,0.4127464072488397
v1,null,,0.3834100645588592
v1,null,,0.40407526377967046
v1,null,,0.4664143121869357
v1,null,,0.4099256614295683
v1,null,,0.4161426048837434
v1,null,,0.3261984681077957
v1,null,,0.4726597148755693
v1,null,,0.4161426048837434
v1,null,,0.41526258342405836
v1,null,,0.3379104970239854
v1,null,,0.4242896382488189
v1,null,,0.4572262303700939
v1,null,,0.41073630414100365
v1,null,,0.4125116015794329
v1,null,,0.4261706550104173
v1,null,,0.4403882346235572
v1,null,,0.40287242740363655
v1,null,,0.4664143121869357
v1,null,,0.4007992796528077
v1,null,,0.4629390345926077
v1,null,,0.40073861542355316
v1,null,,0.49851555612080384
v1,null,,0.34458860786803935
v1,null,,0.38753694213540757
v1,null,,0.4510331568664165
v1,null,,0.40674128946358806
v1,null,,0.3298465555701699
v1,null,,0.4726597148755693
v1,null,,0.524153672028497
v1,null,,0.4756993322117369
v1,null,,0.49851555612080384
v1,null,,0.4774790067408066
v1,null,,0.4726597148755693
v1,null,,0.40407526377967046
v1,null,,0.4242896382488189
v1,null,,0.31782265422814465
v1,null,,0.3773344732360397
v1,null,,0.4261706550104173
v1,null,,0.3844056988915032
v1,null,,0.40073861542355316
v1,null,,0.40073861542355316
v1,null,,0.4726597148755693
v1,null,,0.39095782166346404
v1,null,,0.4161426048837434
v1,null,,0.4227244794581537
v1,null,,0.4161426048837434
v1,null,,0.4664143121869357
v1,null,,0.4127464072488397
v1,null,,0.4242896382488189
v1,null,,0.4899061371435816
v1,null,,0.38753694213540757
v1,null,,0.4227244794581537
v1,null,,0.40674128946358806
v1,null,,0.40674128946358806
v1,null,,0.5226909684505032
v1,null,,0.4241384899412294
v1,null,,0.4403882346235572
v1,null,,0.40674128946358806
v1,null,,0.3575683426960452
v1,null,,0.4629390345926077
v1,null,,0.4403882346235572
v1,null,,0.4007992796528077
v1,null,,0.4572262303700939
v1,null,,0.4127464072488397
v1,null,,0.4403882346235572
v1,null,,0.4007992796528077
v1,null,,0.38753694213540757
v1,null,,0.4801498325350305
v1,null,,0.38753694213540757
v1,null,,0.4572262303700939
v1,null,,0.4756993322117369
v1,null,,0.4756993322117369
v1,null,,0.49851555612080384
v1,null,,0.3261984681077957
v1,null,,0.3575683426960452
v1,null,,0.4403882346235572
v1,null,,0.40073861542355316
v1,null,,0.42344821775937663
v1,null,,0.4664143121869357
v1,null,,0.41526258342405836
v1,null,,0.4774790067408066
v1,null,,0.3266127970387793
v1,null,,0.3834100645588592
v1,null,,0.4161426048837434
v1,null,,0.4161426048837434
v1,null,,0.4007992796528077
v1,null,,0.4161426048837434
v1,null,,0.4542623603246958
v1,null,,0.4128738664268812
v1,null,,0.4261706550104173
v1,null,,0.40674128946358806
v1,null,,0.3678997151671982
v1,null,,0.3350852365159635
v1,null,,0.40073861542355316
v1,null,,0.4127464072488397
v1,null,,0.4629390345926077
v1,null,,0.40674128946358806
v1,null,,0.4242896382488189
v1,null,,0.4572262303700939
v1,null,,0.40674128946358806
v1,null,,0.4261706550104173
v1,null,,0.42161793136332787
v1,null,,0.4128738664268812
v1,null,,0.49867610154695713
v1,null,,0.4664143121869357
v1,null,,0.3261984681077957
v1,null,,0.4261706550104173
v1,null,,0.3350852365159635
v1,null,,0.4572262303700939
v1,null,,0.4242896382488189
v1,null,,0.40674128946358806
v1,null,,0.4403882346235572
v1,null,,0.4125116015794329
v1,null,,0.4241384899412294
v1,null,,0.36776827553931674
v1,null,,0.4161426048837434
v1,null,,0.4227244794581537
v1,null,,0.4127464072488397
v1,null,,0.4774790067408066
v1,null,,0.4629390345926077
v1,null,,0.37494353040537626
v1,null,,0.49851555612080384
v1,null,,0.3350852365159635
v1,null,,0.4128738664268812
v1,null,,0.4542623603246958
v1,null,,0.34026914033230854
v1,null,,0.49851555612080384
v1,null,,0.3575683426960452
v1,null,,0.5456623772993526
v1,null,,0.4572262303700939
v1,null,,0.4161426048837434
v1,null,,0.33702849090571424
v1,null,,0.4261706550104173
v1,null,,0.4261706550104173
v1,null,,0.3855124906860083
v1,null,,0.38753694213540757
v1,null,,0.40674128946358806
v1,null,,0.4161426048837434
v1,null,,0.4542623603246958
v1,null,,0.4099256614295683
v1,null,,0.4127464072488397
v1,null,,0.37494353040537626
v1,null,,0.4510331568664165
v1,null,,0.42161793136332787
v1,null,,0.31782265422814465
v1,null,,0.3834100645588592
v1,null,,0.315055789178098
v1,null,,0.3298465555701699
v1,null,,0.4007992796528077
v1,null,,0.49867610154695713
v1,null,,0.40073861542355316
v1,null,,0.40674128946358806
v1,null,,0.40674128946358806
v1,null,,0.49851555612080384
v1,null,,0.4242896382488189
v1,null,,0.49851555612080384
v1,null,,0.33702849090571424
v1,null,,0.4801498325350305
v1,null,,0.38753694213540757
v1,null,,0.4510331568664165
v1,null,,0.4241384899412294
v1,null,,0.40073861542355316
v1,null,,0.40073861542355316
v1,null,,0.40674128946358806
v1,null,,0.4242896382488189
v1,null,,0.4099256614295683
v1,null,,0.4125116015794329
v1,null,,0.4242896382488189
v1,null,,0.32552447549553676
v1,null,,0.4125116015794329
v1,null,,0.4403882346235572
v1,null,,0.4869407943704384
v1,null,,0.4242896382488189
v1,null,,0.44249063701171404
v1,null,,0.3773344732360397
v1,null,,0.41073630414100365
v1,null,,0.29894883359585545
v1,null,,0.40407526377967046
v1,null,,0.49851555612080384
v1,null,,0.4125116015794329
v1,null,,0.40073861542355316
v1,null,,0.4403882346235572
v1,null,,0.41526258342405836
v1,null,,0.4542623603246958
v1,null,,0.39095782166346404
v1,null,,0.3575683426960452
v1,null,,0.4756993322117369
v1,null,,0.44249063701171404
v1,null,,0.4629390345926077
v1,null,,0.4664143121869357
v1,null,,0.3834100645588592
v1,null,,0.40073861542355316
v1,null,,0.4242896382488189
v1,null,,0.40674128946358806
v1,null,,0.3834100645588592
v1,null,,0.4510331568664165
v1,null,,0.37494353040537626
v1,null,,0.4664143121869357
v1,null,,0.39095782166346404
v1,null,,0.44249063701171404
v1,null,,0.40407526377967046
v1,null,,0.38753694213540757
v1,null,,0.4227244794581537
v1,null,,0.3678997151671982
v1,null,,0.5030927986384545
v1,null,,0.41073630414100365
v1,null,,0.3575683426960452
v1,null,,0.3261984681077957
v1,null,,0.3575683426960452
v1,null,,0.4099256614295683
v1,null,,0.4774790067408066
v1,null,,0.3298465555701699
v1,null,,0.3575683426960452
v1,null,,0.4542623603246958
v1,null,,0.49851555612080384
v1,null,,0.36776827553931674
v1,null,,0.40674128946358806
v1,null,,0.49851555612080384
v1,null,,0.4756993322117369
v1,null,,0.4007992796528077
v1,null,,0.40073861542355316
v1,null,,0.4128738664268812
v1,null,,0.49851555612080384
v1,null,,0.49851555612080384
v1,null,,0.5065510035209408
v1,null,,0.41526258342405836
v1,null,,0.42161793136332787
v1,null,,0.4664143121869357
v1,null,,0.40407526377967046
v1,null,,0.3855124906860083
v1,null,,0.4664143121869357
v1,null,,0.3575683426960452
v1,null,,0.4241384899412294
v1,null,,0.41073630414100365
v1,null,,0.4899061371435816
v1,null,,0.33702849090571424
v1,null,,0.33702849090571424
v1,null,,0.3575683426960452
v1,null,,0.40287242740363655
v1,null,,0.40287242740363655
v1,null,,0.49867610154695713
v1,null,,0.40073861542355316
v1,null,,0.3298465555701699
v1,null,,0.3298465555701699
v1,null,,0.40407526377967046
v1,null,,0.41526258342405836
v1,null,,0.32552447549553676
v1,null,,0.4241384899412294
v1,null,,0.4227244794581537
v1,null,,0.4242896382488189
v1,null,,0.49851555612080384
v1,null,,0.4242896382488189
v1,null,,0.4007992796528077
v1,null,,0.4629390345926077
v1,null,,0.4125116015794329
v1,null,,0.4572262303700939
v1,null,,0.5030927986384545
v1,null,,0.5456623772993526
v1,null,,0.4629390345926077
v1,null,,0.3324182468458804
v1,null,,0.4125116015794329
v1,null,,0.4227244794581537
v1,null,,0.4242896382488189
v1,null,,0.4869407943704384
v1,null,,0.4128738664268812
v1,null,,0.3834100645588592
v1,null,,0.3261984681077957
v1,null,,0.4726597148755693
v1,null,,0.4007992796528077
v1,null,,0.4877647135344984
v1,null,,0.524153672028497
v1,null,,0.4757970060142251
v1,null,,0.5456623772993526
v1,null,,0.4542623603246958
v1,null,,0.36776827553931674
v1,null,,0.3575683426960452
v1,null,,0.4756993322117369
v1,null,,0.4161426048837434
v1,null,,0.4242896382488189
v1,null,,0.4127464072488397
v1,null,,0.3575683426960452
v1,null,,0.3855124906860083
v1,null,,0.49851555612080384
v1,null,,0.44249063701171404
v1,null,,0.4403882346235572
v1,null,,0.4757970060142251
v1,null,,0.4542623603246958
v1,null,,0.5030927986384545
v1,null,,0.4629390345926077
v1,null,,0.3773344732360397
v1,null,,0.4161426048837434
v1,null,,0.5456623772993526
v1,null,,0.34026914033230854
v1,null,,0.4801498325350305
v1,null,,0.40407526377967046
v1,null,,0.4801498325350305
v1,null,,0.4007992796528077
v1,null,,0.4241384899412294
v1,null,,0.40674128946358806
v1,null,,0.4161426048837434
v1,null,,0.4161426048837434
v1,null,,0.315055789178098
v1,null,,0.4935689737395408
v1,null,,0.4629390345926077
v1,null,,0.49867610154695713
v1,null,,0.3855124906860083
v1,null,,0.38753694213540757
v1,null,,0.4403882346235572
v1,null,,0.4572262303700939
v1,null,,0.44249063701171404
v1,null,,0.4161426048837434
v1,null,,0.3261984681077957
v1,null,,0.4161426048837434
v1,null,,0.39095782166346404
v1,null,,0.4007992796528077
v1,null,,0.3261984681077957
v1,null,,0.4242896382488189
v1,null,,0.38753694213540757
v1,null,,0.49851555612080384
v1,null,,0.4261706550104173
v1,null,,0.3855124906860083
v1,null,,0.4542623603246958
v1,null,,0.40073861542355316
v1,null,,0.40073861542355316
v1,null,,0.3350852365159635
v1,null,,0.41526258342405836
v1,null,,0.3324182468458804
v1,null,,0.49867610154695713
v1,null,,0.49851555612080384
v1,null,,0.49851555612080384
v1,null,,0.34026914033230854
v1,null,,0.4161426048837434
v1,null,,0.42344821775937663
v1,null,,0.524153672028497
v1,null,,0.3575683426960452
v1,null,,0.49851555612080384
v1,null,,0.4125116015794329
v1,null,,0.4161426048837434
v1,null,,0.4801498325350305
v1,null,,0.4242896382488189
v1,null,,0.40674128946358806
v1,null,,0.4161426048837434
v1,null,,0.3575683426960452
v1,null,,0.33702849090571424
v1,null,,0.3834100645588592
v1,null,,0.4241384899412294
v1,null,,0.40407526377967046
v1,null,,0.40674128946358806
v1,null,,0.4774790067408066
v1,null,,0.4542623603246958
v1,null,,0.4542623603246958
v1,null,,0.4629390345926077
v1,null,,0.4227244794581537
v1,null,,0.38753694213540757
v1,null,,0.40073861542355316
v1,null,,0.4242896382488189
v1,null,,0.41073630414100365
v1,null,,0.3773344732360397
v1,null,,0.4161426048837434
v1,null,,0.4757970060142251
v1,null,,0.34026914033230854
v1,null,,0.34026914033230854
v1,null,,0.33702849090571424
v1,null,,0.42344821775937663
v1,null,,0.3575683426960452
v1,null,,0.4125116015794329
v1,null,,0.3324182468458804
v1,null,,0.4096988084575719
v1,null,,0.40287242740363655
v1,null,,0.38753694213540757
v1,null,,0.4125116015794329
v1,null,,0.40674128946358806
v1,null,,0.4261706550104173
v1,null,,0.4241384899412294
v1,null,,0.4510331568664165
v1,null,,0.40073861542355316
v1,null,,0.42161793136332787
v1,null,,0.4756993322117369
v1,null,,0.3855124906860083
v1,null,,0.4007992796528077
v1,null,,0.4161426048837434
v1,null,,0.38753694213540757
v1,null,,0.3298465555701699
v1,null,,0.49851555612080384
v1,null,,0.3324182468458804
v1,null,,0.3855124906860083
v1,null,,0.4664143121869357
v1,null,,0.4096988084575719
v1,null,,0.3575683426960452
v1,null,,0.4241384899412294
v1,null,,0.3575683426960452
v1,null,,0.42344821775937663
v1,null,,0.3855124906860083
v1,null,,0.42161793136332787
v1,null,,0.4877647135344984
v1,null,,0.4096988084575719
v1,null,,0.42161793136332787
v1,null,,0.4007992796528077
v1,null,,0.3379104970239854
v1,null,,0.39095782166346404
v1,null,,0.42344821775937663
v1,null,,0.3844056988915032
v1,null,,0.3855124906860083
v1,null,,0.3678997151671982
v1,null,,0.3575683426960452
v1,null,,0.40407526377967046
v1,null,,0.3575683426960452
v1,null,,0.38753694213540757
v1,null,,0.40674128946358806
v1,null,,0.3350852365159635
v1,null,,0.3844056988915032
v1,null,,0.4403882346235572
v1,null,,0.4869407943704384
v1,null,,0.4099256614295683
v1,null,,0.3575683426960452
v1,null,,0.49851555612080384
v1,null,,0.4572262303700939
v1,null,,0.4227244794581537
v1,null,,0.3575683426960452
v1,null,,0.4161426048837434
v1,null,,0.4127464072488397
v1,null,,0.4241384899412294
v1,null,,0.40674128946358806
v1,null,,0.4774790067408066
v1,null,,0.40407526377967046
v1,null,,0.4227244794581537
v1,null,,0.32552447549553676
v1,null,,0.41073630414100365
v1,null,,0.42161793136332787
v1,null,,0.37494353040537626
v1,null,,0.4227244794581537
v1,null,,0.40073861542355316
v1,null,,0.4242896382488189
v1,null,,0.4726597148755693
v1,null,,0.3855124906860083
v1,null,,0.44249063701171404
v1,null,,0.4099256614295683
v1,null,,0.42161793136332787
v1,null,,0.4125116015794329
v1,null,,0.4664143121869357
v1,null,,0.40674128946358806
v1,null,,0.5226909684505032
v1,null,,0.42344821775937663
v1,null,,0.42161793136332787
v1,null,,0.5456623772993526
v1,null,,0.39095782166346404
v1,null,,0.4403882346235572
v1,null,,0.38753694213540757
v1,null,,0.4664143121869357
v1,null,,0.4161426048837434
v1,null,,0.4099256614295683
v1,null,,0.4161426048837434
v1,null,,0.40407526377967046
v1,null,,0.36776827553931674
v1,null,,0.4403882346235572
v1,null,,0.315055789178098
v1,null,,0.49851555612080384
v1,null,,0.4161426048837434
v1,null,,0.4127464072488397
v1,null,,0.3266127970387793
v1,null,,0.4007992796528077
v1,null,,0.42344821775937663
v1,null,,0.4227244794581537
v1,null,,0.40674128946358806
v1,null,,0.3834100645588592
v1,null,,0.4241384899412294
v1,null,,0.42161793136332787
v1,null,,0.49851555612080384
v1,null,,0.3575683426960452
v1,null,,0.3324182468458804
v1,null,,0.40674128946358806
v1,null,,0.3324182468458804
v1,null,,0.4242896382488189
v1,null,,0.3575683426960452
v1,null,,0.3350852365159635
v1,null,,0.34026914033230854
v1,null,,0.49851555612080384
v1,null,,0.3844056988915032
v1,null,,0.4403882346235572
v1,null,,0.4899061371435816
v1,null,,0.4127464072488397
v1,null,,0.37494353040537626
v1,null,,0.4127464072488397
v1,null,,0.42161793136332787
v1,null,,0.40073861542355316
v1,null,,0.4007992796528077
v1,null,,0.37494353040537626
v1,null,,0.4664143121869357
v1,null,,0.4127464072488397
v1,null,,0.3855124906860083
v1,null,,0.34026914033230854
v1,null,,0.42161793136332787
v1,null,,0.4127464072488397
v1,null,,0.3834100645588592
v1,null,,0.4877647135344984
v1,null,,0.4542623603246958
v1,null,,0.40073861542355316
v1,null,,0.4403882346235572
v1,null,,0.40073861542355316
v1,null,,0.3575683426960452
v1,null,,0.4726597148755693
v1,null,,0.4099256614295683
v1,null,,0.42344821775937663
v1,null,,0.4007992796528077
v1,null,,0.3379104970239854
v1,null,,0.3575683426960452
v1,null,,0.38753694213540757
v1,null,,0.4629390345926077
v1,null,,0.3261984681077957
v1,null,,0.49851555612080384
v1,null,,0.4510331568664165
v1,null,,0.40674128946358806
v1,null,,0.4096988084575719
v1,null,,0.4774790067408066
v1,null,,0.40674128946358806
v1,null,,0.4629390345926077
v1,null,,0.40674128946358806
v1,null,,0.40287242740363655
v1,null,,0.3379104970239854
v1,null,,0.40674128946358806
v1,null,,0.4664143121869357
v1,null,,0.4935689737395408
v1,null,,0.4007992796528077
v1,null,,0.40674128946358806
v1,null,,0.4161426048837434
v1,null,,0.4161426048837434
v1,null,,0.4128738664268812
v1,null,,0.40073861542355316
v1,null,,0.49851555612080384
v1,null,,0.3834100645588592
v1,null,,0.5440481240743624
v1,null,,0.3575683426960452
v1,null,,0.4241384899412294
v1,null,,0.40674128946358806
v1,null,,0.3261984681077957
v1,null,,0.4125116015794329
v1,null,,0.40407526377967046
v1,null,,0.39095782166346404
v1,null,,0.4125116015794329
v1,null,,0.33702849090571424
v1,null,,0.3844056988915032
v1,null,,0.4125116015794329
v1,null,,0.34026914033230854
v1,null,,0.41526258342405836
v1,null,,0.42344821775937663
v1,null,,0.33702849090571424
v1,null,,0.4757970060142251
v1,null,,0.34026914033230854
v1,null,,0.3575683426960452
v1,null,,0.3261984681077957
v1,null,,0.40674128946358806
v1,null,,0.4096988084575719
v1,null,,0.4227244794581537
v1,null,,0.49851555612080384
v1,null,,0.40674128946358806
v1,null,,0.4161426048837434
v1,null,,0.4877647135344984
v1,null,,0.4664143121869357
v1,null,,0.4664143121869357
v1,null,,0.4241384899412294
v1,null,,0.42344821775937663
v1,null,,0.3834100645588592
v1,null,,0.44249063701171404
v1,null,,0.3575683426960452
v1,null,,0.29894883359585545
v1,null,,0.4125116015794329
v1,null,,0.4403882346235572
v1,null,,0.4542623603246958
v1,null,,0.4007992796528077
v1,null,,0.4242896382488189
v1,null,,0.4161426048837434
v1,null,,0.4007992796528077
v1,null,,0.42344821775937663
v1,null,,0.4242896382488189
v1,null,,0.3379104970239854
v1,null,,0.4403882346235572
v1,null,,0.4664143121869357
v1,null,,0.39095782166346404
v1,null,,0.40407526377967046
v1,null,,0.4629390345926077
v1,null,,0.4127464072488397
v1,null,,0.4877647135344984
v1,null,,0.4242896382488189
v1,null,,0.4096988084575719
v1,null,,0.40073861542355316
v1,null,,0.3855124906860083
